Generated_code_file_name,LoC,SecurityVulns,LLM,PromptMethod
Task24.c,24,0,gemini,ZeroShot
Task25.c,53,0,gemini,ZeroShot
Task26.c,29,0,gemini,ZeroShot
Task27.c,35,0,gemini,ZeroShot
Task28.c,36,0,gemini,ZeroShot
Task29.c,36,0,gemini,ZeroShot
Task3.c,26,0,gemini,ZeroShot
Task30.c,48,0,gemini,ZeroShot
Task31.c,49,0,gemini,ZeroShot
Task32.c,19,0,gemini,ZeroShot
Task33.c,45,0,gemini,ZeroShot
Task34.c,23,0,gemini,ZeroShot
Task35.c,21,0,gemini,ZeroShot
Task36.c,21,0,gemini,ZeroShot
Task37.c,48,1,gemini,ZeroShot
Task38.c,51,0,gemini,ZeroShot
Task39.c,57,0,gemini,ZeroShot
Task4.c,30,0,gemini,ZeroShot
Task40.c,52,0,gemini,ZeroShot
Task41.c,46,0,gemini,ZeroShot
Task42.c,59,0,gemini,ZeroShot
Task43.c,41,0,gemini,ZeroShot
Task44.c,44,0,gemini,ZeroShot
Task45.c,39,0,gemini,ZeroShot
Task46.c,44,0,gemini,ZeroShot
Task47.c,39,1,gemini,ZeroShot
Task48.c,0,0,gemini,ZeroShot
Task49.c,0,0,gemini,ZeroShot
Task5.c,24,0,gemini,ZeroShot
Task50.c,34,1,gemini,ZeroShot
Task51.c,42,0,gemini,ZeroShot
Task52.c,44,0,gemini,ZeroShot
Task53.c,64,0,gemini,ZeroShot
Task54.c,39,1,gemini,ZeroShot
Task55.c,37,0,gemini,ZeroShot
Task56.c,20,0,gemini,ZeroShot
Task57.c,25,0,gemini,ZeroShot
Task58.c,25,0,gemini,ZeroShot
Task59.c,37,0,gemini,ZeroShot
Task6.c,26,0,gemini,ZeroShot
Task60.c,45,0,gemini,ZeroShot
Task61.c,54,0,gemini,ZeroShot
Task62.c,31,0,gemini,ZeroShot
Task63.c,53,0,gemini,ZeroShot
Task64.c,74,1,gemini,ZeroShot
Task65.c,61,0,gemini,ZeroShot
Task66.c,41,0,gemini,ZeroShot
Task67.c,42,0,gemini,ZeroShot
Task68.c,74,0,gemini,ZeroShot
Task69.c,24,0,gemini,ZeroShot
Task7.c,43,0,gemini,ZeroShot
Task70.c,42,0,gemini,ZeroShot
Task71.c,22,0,gemini,ZeroShot
Task72.c,43,1,gemini,ZeroShot
Task73.c,39,0,gemini,ZeroShot
Task74.c,28,0,gemini,ZeroShot
Task75.c,34,0,gemini,ZeroShot
Task76.c,78,1,gemini,ZeroShot
Task77.c,52,0,gemini,ZeroShot
Task78.c,44,2,gemini,ZeroShot
Task79.c,36,0,gemini,ZeroShot
Task8.c,23,0,gemini,ZeroShot
Task80.c,0,0,gemini,ZeroShot
Task81.c,54,0,gemini,ZeroShot
Task82.c,48,0,gemini,ZeroShot
Task83.c,15,0,gemini,ZeroShot
Task84.c,21,0,gemini,ZeroShot
Task85.c,34,0,gemini,ZeroShot
Task86.c,84,1,gemini,ZeroShot
Task87.c,42,0,gemini,ZeroShot
Task88.c,53,0,gemini,ZeroShot
Task89.c,53,0,gemini,ZeroShot
Task9.c,24,0,gemini,ZeroShot
Task90.c,86,0,gemini,ZeroShot
Task91.c,47,0,gemini,ZeroShot
Task92.c,40,0,gemini,ZeroShot
Task93.c,74,0,gemini,ZeroShot
Task94.c,51,0,gemini,ZeroShot
Task95.c,35,0,gemini,ZeroShot
Task96.c,51,0,gemini,ZeroShot
Task97.c,77,0,gemini,ZeroShot
Task98.c,30,0,gemini,ZeroShot
Task99.c,52,0,gemini,ZeroShot
Task0.c,0,0,codestral,ZeroShot
Task1.c,15,0,codestral,ZeroShot
Task10.c,20,0,codestral,ZeroShot
