number,severity,weaknesses,tags,state,rule_id,tool,created_at,url
653,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/653
652,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/652
651,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/651
650,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/650
649,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/649
648,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/648
647,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/647
646,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/646
645,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/645
644,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/644
643,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/643
642,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/642
641,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/641
640,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/640
639,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/639
638,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/638
